competition,rank,date,category,display
National Robo Fest 2026 - EWU,Champion,Jun 2026,ctf,yes
HackerOne Bug Hunt 2026 (Onsite),11th + Bounty,Jan 2026,ctf,yes
Black Hat CTF - Bugcrowd,Top 100,Aug 2025,ctf,yes
Cyber Hackathon 2025 Final,4th / 35 Teams,May 2025,ctf,yes
Cisco National Skills Competition 2025,5th / 30 Teams,Nov 2025,ctf,yes
Red Sentry CTF 2025,5th / 50+ Participants,Jun 2025,ctf,yes
Cyber Invasion 2025 - TechnoNext,7th / 70 Participants,Dec 2025,ctf,yes
ACM ICPC 2025,Regionalist,,programming,yes
BUP CTF - Knight Squad,7th / 40 Teams,,ctf,yes
DIU CyberCon 2025,12th / 35 Teams,,ctf,yes
EWU CTF Final,12th / 40 Teams,,ctf,yes
BUET CTF 2026,14th / 35 Teams,,ctf,yes
Phoenix Summit CTF 2025,17th / 140+ Teams,,ctf,yes
MIST Cyber Raid,23rd / 40 Teams,,ctf,yes
Al-Khwarizmi Science Fest CTF 2026,23rd / 45 Teams,,ctf,yes
BUP Cipher Sprint 2025,23rd / 30 Teams,,ctf,yes
NSU Cyber Nauts 2026 Final,39th / 60 Teams,,ctf,yes
Phoenix Summit CTF 2024 Qualifier,74th / 250+,,ctf,yes
Knight CTF 2025,147th / 750+ Teams,,ctf,yes
AUST IUPC 2025,73rd / 130+ Teams,,programming,yes
11th IUT IUPC 2024,75th / 120+ Teams,,programming,yes
NSU Web Extreme Hackathon,Participant,,programming,yes
EWU National Hackathon 2024,Participant,,programming,yes
