image,caption,category,date
# CTF & Cybersecurity Competitions
gallery/cyber_invasion_ctf_2025_7th_place.jpg,Cyber Invasion CTF 2025 - TechnoNext 7th / 70,CTF,Dec 2025
gallery/bup ctf powerd by knight ctf 7th place.jpg,BUP CTF - Knight Squad 7th / 40 Teams,CTF,
gallery/bup ctf powerd by knight ctf 7th place 1.jpg,BUP CTF - Knight Squad 7th / 40 Teams,CTF,
gallery/bup ctf powerd by knight ctf 7th place 2.jpg,BUP CTF - Knight Squad 7th / 40 Teams,CTF,
gallery/bup_cipher_sprint_2026_23rd_place.jpg,BUP Cipher Sprint 2026 - 23rd Place,CTF,Feb 2026
gallery/bup_cipher_sprint_2026_23rd_place1.jpg,BUP Cipher Sprint 2026 - 23rd Place,CTF,Feb 2026
gallery/diu cybercon 2026 12th place.jpg,DIU CyberCon 2026 - 12th Place,CTF,2026
gallery/diu cybercon 2026 12th place 1.jpg,DIU CyberCon 2026 - 12th Place,CTF,2026
gallery/cisco_national_skills_compettion_at_aiub_2025_5th_place.jpg,Cisco National Skills Competition 2025 - 5th / 30 Teams,CTF,Nov 2025
gallery/cisco_national_skills_compettion_at_aiub_2025_5th_place1.jpg,Cisco National Skills Competition 2025 - 5th / 30 Teams,CTF,Nov 2025
gallery/cisco_national_skills_compettion_at_aiub_2025_5th_place2.jpg,Cisco National Skills Competition 2025 - 5th / 30 Teams,CTF,Nov 2025
gallery/bug_hunt1.jpg,HackerOne Bug Hunt 2026 - 11th + Bounty,CTF,Jan 2026
gallery/bug_hunt2.jpg,HackerOne Bug Hunt 2026 - 11th + Bounty,CTF,Jan 2026
gallery/EWU2026.JPG,National Robo Fest 2026 - Champion,CTF,Jun 2026
gallery/placeholder.svg,Black Hat CTF - Bugcrowd Top 100,CTF,Aug 2025
gallery/placeholder.svg,Cyber Hackathon 2025 Final - 4th / 35 Teams,CTF,May 2025
gallery/placeholder.svg,Red Sentry CTF 2025 - 5th / 50+,CTF,Jun 2025
# Programming Competitions
gallery/aust iupc 1.jpg,AUST IUPC 2025,Programming,2025
gallery/aust iupc 2.jpg,AUST IUPC 2025,Programming,2025
gallery/aust iupc 3.jpg,AUST IUPC 2025,Programming,2025
gallery/aust iupc 4.jpg,AUST IUPC 2025,Programming,2025
gallery/hackathon.jpg,Hackathon 2025,Hackathon,2025
gallery/hackathon_crest.jpg,Hackathon 2025 - Crest,Hackathon,2025
gallery/placeholder.svg,ACM ICPC 2025 Regionalist,Programming,2025
gallery/placeholder.svg,Codeforces 550+ Problems Solved,Programming,
# Certifications
gallery/ejpt.jpg,eJPT - Junior Penetration Tester,Certification,Mar 2026
gallery/placeholder.svg,Mastering Cyber Threat Intelligence,Certification,Jul 2025
gallery/placeholder.svg,Blue Team Junior Analyst,Certification,Jul 2025
# Sports & Achievements
gallery/spcg_vi_cricket_tournament_runner_up.jpg,SPCG VI Cricket Tournament - Runner Up,Sports,2025
gallery/spcg_vi_cricket_tournament_runner_up2.jpg,SPCG VI Cricket Tournament - Runner Up,Sports,2025
gallery/spcg_vi_cricket_tournament_runner_up3.jpg,SPCG VI Cricket Tournament - Runner Up,Sports,2025
gallery/runner_up_thug_of_war_csefest2025.jpg,Runner Up - Tug of War CSE Fest 2025,Sports,2025
gallery/champion_football_csefest2025.jpg,Champion - Football CSE Fest 2025,Sports,2025
gallery/men_of_the_tournament_cricket_csefest2025.jpg,Men of the Tournament - Cricket CSE Fest 2025,Sports,2025
gallery/personal_achivement_photo_csefest2025.jpg,Personal Achievement - CSE Fest 2025,Sports,2025
# Events & Conferences
gallery/phoenix summit 2025 1.jpg,Phoenix Summit 2025,Event,2025
gallery/phoenix summit 2025 2.jpg,Phoenix Summit 2025,Event,2025
